CODCAR;CODVIA;NOMCAR
10;CA;LA RIOJA
15;CA;A.CREUS 'LO PACHECO'
20;CA;ACADEMIA
40;CA;AGER
45;CA;AIGUES TORTES
50;CA;AGUSTINS
53;AV;ALACANT
60;CA;ALANDIR
65;TR;SANT JORDI
80;AV;ALCALDE ARENY
90;CA;ALCALDE COSTA
100;CA;ALCALDE FUSTER
110;CA;ALCALDE MESTRE
130;AV;ALCALDE PORQUERAS
140;AV;ALCALDE PUJOL
150;AV;ALCALDE RECASENS
160;AV;ALCALDE ROVIRA ROURE
170;CA;ALCALDE SOL
180;CA;HISTORIADOR JOSEP LLADONOSA
190;CA;ALFES
200;CA;ALFONS II
210;CA;ALGERRI
220;CA;FERRARA
221;CA;ALMIRALL FOLCH
225;CA;ALMACELLES
230;CA;ALMODI VELL
240;PD;ALPICAT
245;CA;ALMERIA
250;CA;CASTELLA
251;PL;CASTELLA
260;CA;ALSAMORA
265;CA;AMICS DEL FFCC
270;CA;AMICS DE LLEIDA
271;PL;AMICS DE LLEIDA
280;PG;EMPORDA
290;CA;ANASTASI PINOS
300;CA;ANSELM CLAVE
305;CA;ANSELM CHARLES
310;CA;ANTONI AGUSTI
315;CA;ANTONI BERGOS I MASSO
320;CA;ANTONI SOLE
330;CA;APOSTOL SANT JAUME
340;RA;ARAGO
350;CA;ARAJOL
360;CA;ARBOLO
365;CA;ARBECA
370;CA;LA NOGUERA
380;CA;ARC DEL PONT
390;CA;ARIBAU
400;CA;ARNALD DE SOLSONA
405;CA;ARQUITECTE DOMENECH I TORRES
415;CA;ARQUITECTE MORERA I GATELL
420;CA;ARQUITECTE GAUDI
430;AV;ARTESA
440;CA;ANOIA
445;CA;ARTUR MOR
450;CA;ASSALT
455;CA;ARTUR VIVES
460;PD;ASTO
470;CA;ASSUMPCIO
480;PD;ALBARES
500;CA;ARQUITECTE GOMA
505;CA;ARQUITECTE FLORENSA
510;CA;ARQUITECTE BERGOS
515;CA;ARQUITECTE PORQUERAS
520;CA;ARQUITECTE CAMPMANY
525;CA;ARQUITECTE LAMARCA
530;CA;ARQUITECTE CASES
535;CA;ARQUITECTE CELLES
540;CA;ARQUITECTE VILLALONGA
545;CA;ENRIC CROUS
580;CA;BAFART
590;CA;BAIXADA DE L'AUDIENCIA
595;AV;BALAFIA
600;PD;BALAFIA
